# energy, mean, mean+sigma, mean-sigma
1.0213273675623025, 0.14064949608062705, 0.2284434490481524, 0.051063829787233894
1.127028314125973, 0.1137737961926093, 0.20873460246360565, 0.01881298992161251
1.2436686425757095, 0.10660694288913763, 0.1979843225083986, 0.013437849944009095
1.3723805100012998, 0.10123180291153422, 0.19081746920492715, 0.011646136618141067
1.5144132446169423, 0.09764837625979839, 0.1836506159014557, 0.009854423292273262
1.6711454722342578, 0.09406494960806278, 0.1800671892497201, 0.009854423292273262
1.8571163086916112, 0.09227323628219497, 0.17469204927211646, 0.009854423292273262
2.049316143868903, 0.09048152295632694, 0.17110862262038062, 0.009854423292273262
2.2614074508238575, 0.08868980963045914, 0.167525195968645, 0.009854423292273262
2.4954488715377057, 0.08868980963045914, 0.1657334826427772, 0.009854423292273262
2.7344094342979592, 0.08689809630459111, 0.1639417693169094, 0.009854423292273262
3.038703954531078, 0.0851063829787233, 0.16215005599104138, 0.009854423292273262
3.3531906651803007, 0.0833146696528555, 0.16035834266517357, 0.00985442329227304
3.6742873374195364, 0.0833146696528555, 0.16035834266517357, 0.008062709966405235
4.083174714896625, 0.0815229563269877, 0.15856662933930576, 0.0062709966405372075
4.5057575674246495, 0.07973124300111989, 0.15856662933930576, 0.0062709966405372075
4.972075082248462, 0.07973124300111989, 0.15677491601343774, 0.002687569988801597
5.486653521318082, 0.07793952967525208, 0.15856662933930576, -0.0008958566629340137
6.054487586172743, 0.07793952967525208, 0.16035834266517357, -0.002687569988802041
6.681088898486456, 0.07614781634938406, 0.16035834266517357, -0.006270996640537874
7.372539498044535, 0.07614781634938406, 0.16215005599104138, -0.008062709966405679
8.19298114124462, 0.07614781634938406, 0.1639417693169094, -0.009854423292273262
9.040903060613939, 0.07614781634938406, 0.1639417693169094, -0.013437849944009095
9.976579555387765, 0.07435610302351625, 0.1657334826427772, -0.0152295632698769
11.009092671127723, 0.07435610302351625, 0.167525195968645, -0.01881298992161251
12.148464387879809, 0.07435610302351625, 0.16931690929451282, -0.022396416573348565
13.405753897470472, 0.07435610302351625, 0.16931690929451282, -0.022396416573348565
14.793164948389766, 0.07256438969764845, 0.17290033594624843, -0.02777155655095176
16.3241643001935, 0.07256438969764822, 0.17469204927211646, -0.02777155655095176
18.01361243718964, 0.07435610302351625, 0.17469204927211646, -0.027771556550952203
19.877907810167482, 0.07614781634938406, 0.17469204927211646, -0.020604703247480538
21.935146006236774, 0.07614781634938406, 0.17290033594624843, -0.018812989921612733
24.205295391742293, 0.07614781634938406, 0.17110862262038062, -0.017021276595744927
26.710390933113132, 0.07793952967525208, 0.16931690929451282, -0.011646136618140845
29.682815432634932, 0.07793952967525208, 0.16931690929451282, -0.009854423292273484
32.75479978119187, 0.07973124300111989, 0.167525195968645, -0.008062709966405457
36.144715151460446, 0.0815229563269877, 0.16573348264277699, -0.002687569988802041
39.88546540071932, 0.0815229563269877, 0.1639417693169094, 0.0008958566629335696
44.01335972812885, 0.0833146696528555, 0.16215005599104138, 0.0062709966405372075
48.56846510615714, 0.0851063829787233, 0.16035834266517357, 0.009854423292273262
53.594995186437416, 0.0851063829787233, 0.15856662933930576, 0.013437849944008873
59.141739454930864, 0.08689809630459133, 0.15677491601343796, 0.01881298992161251
65.2625368019448, 0.08689809630459133, 0.15498320268756993, 0.020604703247480316
72.01679810366298, 0.08689809630459133, 0.15498320268756993, 0.02418812989921615
79.47008288757199, 0.08868980963045914, 0.15319148936170235, 0.02777155655095198
87.69473567912382, 0.08868980963045914, 0.14960806270996652, 0.029563269876819787
96.77058820627043, 0.08868980963045914, 0.1496080627099663, 0.0331466965285554
106.78573427773979, 0.09048152295632694, 0.1496080627099663, 0.0331466965285554
118.66921938139966, 0.08868980963045914, 0.1513997760358341, 0.029563269876819787
130.95073578345617, 0.08868980963045914, 0.1478163493840985, 0.0331466965285554
144.50331174013232, 0.08868980963045914, 0.1478163493840985, 0.0331466965285554
159.45849390564445, 0.08868980963045914, 0.1478163493840985, 0.03135498320268759
175.96144318396725, 0.08868980963045914, 0.1478163493840985, 0.029563269876819787
192.81125564333337, 0.08868980963045914, 0.1496080627099663, 0.029563269876819787
214.26795769958446, 0.08868980963045914, 0.1478163493840985, 0.029563269876819787
236.44334109420265, 0.08868980963045914, 0.15139977603583432, 0.029563269876819565
260.91373693014856, 0.09048152295632694, 0.15498320268756993, 0.02777155655095198
287.91666453288747, 0.09227323628219475, 0.15856662933930576, 0.029563269876819787
317.71422498132483, 0.09406494960806278, 0.16035834266517357, 0.02777155655095198
350.59564516437877, 0.09585666293393058, 0.1657334826427772, 0.025979843225083954
386.8800851313851, 0.09944008958566619, 0.17110862262038062, 0.02777155655095198
426.9197359855735, 0.10302351623740202, 0.1800671892497201, 0.025979843225083954
471.10323838999125, 0.10660694288913763, 0.1836506159014557, 0.029563269876819787
523.5292328691074, 0.1119820828667415, 0.19260918253079495, 0.029563269876819787
577.7112094082217, 0.11735722284434491, 0.20694288913773784, 0.02777155655095176
637.50067908692, 0.12273236282194855, 0.2159014557670773, 0.029563269876819787
703.4779821090676, 0.1281075027995522, 0.2284434490481524, 0.03135498320268759
776.2835202325647, 0.1352743561030234, 0.24098544232922725, 0.0331466965285554
856.6239727617145, 0.14244120940649485, 0.25890257558790575, 0.02777155655095198
945.2791558556094, 0.15139977603583432, 0.27502799552071666, 0.02777155655095198
